업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),,
용역,20200523005-00,일반,2020. 원격직무연수용 콘텐츠 개발 용역,조달청 경남지방조달청,경상남도교육청 경상남도교육연수원,수의(총액),2020/05/19 17:47(2020/05/22 12:00),,
용역,20200523503-00,긴급,국도3호선 진산교 교면포장공사 폐기물처리용역,국토교통부 부산지방국토관리청 진주국토관리사무소,국토교통부 부산지방국토관리청 진주국토관리사무소,제한(총액),2020/05/19 17:47(2020/05/26 10:00),,
용역,20200523297-00,긴급,2020년 환경보건종합정보시스템 3차 구축,조달청 서울지방조달청,한국환경산업기술원,수의(총액),2020/05/19 17:47(2020/05/21 15:00),,
용역,20200521885-00,일반,모산·순천동천 재해예방사업 전략 및 소규모환경영향평가 용역,전라남도,전라남도,제한경쟁,2020/05/19 17:47(2020/05/27 10:00),,
용역,20200339514-01,취소,전라남도 장흥소방서 건립사업 설계공모,전라남도,전라남도,수의계약,2020/05/19 17:46(-),,
용역,20200523489-00,일반,2020년 교육정보화 백서 발간,한국교육학술정보원,한국교육학술정보원,제한(총액)협상에의한계약,2020/05/19 17:45(2020/06/01 10:00),,
용역,20200523445-00,일반,2020. 5급 심사승진 역량평가 실행과제개발 및 평가운영 용역,전라남도교육청,전라남도교육청,제한(총액)협상에의한계약,2020/05/19 17:44(2020/06/11 10:00),,
용역,20200523488-00,일반,해운대구 해운대해변로 일원 포장보수공사 폐기물 처리용역 수의 견적제출 안내 공고,부산광역시 건설안전시험사업소,부산광역시 건설안전시험사업소,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 17:44(2020/05/26 10:00),,
용역,20200523493-00,긴급,국도2호선 진성터널 포장 보수공사 폐기물처리용역,국토교통부 부산지방국토관리청 진주국토관리사무소,국토교통부 부산지방국토관리청 진주국토관리사무소,제한(총액),2020/05/19 17:43(2020/05/26 10:00),,
용역,20200521881-00,일반,기산·엄다천 재해예방사업 소규모환경영향평가 용역,전라남도,전라남도,제한경쟁,2020/05/19 17:43(2020/05/27 10:00),,
용역,20200523491-00,긴급,2020 고등리그 경기분석시스템 구축 사업 용역업체 선정,사단법인 대한축구협회,사단법인 대한축구협회,일반(총액)협상에의한계약,2020/05/19 17:43(2020/05/28 17:45),,
용역,20200521878-00,일반,금강·유치천 재해예방사업 소규모환경영향평가 용역,전라남도,전라남도,제한경쟁,2020/05/19 17:41(2020/05/27 10:00),,
용역,20200523479-01,변경,2020년 공용차량 보험가입 용역,경상남도 하동군,경상남도 하동군,일반(총액),2020/05/19 17:41(2020/05/25 10:00),,
용역,20200523478-00,긴급,청주성신학교 통학버스 운행 소액수의 견적요청,충청북도교육청 청주성신학교,충청북도교육청 청주성신학교,제한(총액),2020/05/19 17:40(2020/05/22 17:00),,
용역,20200523417-00,일반,전의 등 6개 광산 지반침하방지 기본조사 용역,한국광해관리공단,한국광해관리공단,제한경쟁,2020/05/19 17:39(2020/05/26 10:00),,
용역,20200523477-00,긴급,국도33호선 진주시 집현면지내 등 6개소 통로BOX 배수로 정비공사 폐기물처리용역,국토교통부 부산지방국토관리청 진주국토관리사무소,국토교통부 부산지방국토관리청 진주국토관리사무소,제한(총액),2020/05/19 17:38(2020/05/26 10:00),,
용역,20200523475-00,긴급,기산지구 하수관거 정비사업 NGIS DB구축 용역,경상남도 밀양시,경상남도 밀양시,제한경쟁,2020/05/19 17:38(2020/05/26 12:00),,
용역,20200523462-00,일반,2020년 택지지구 인도(측구) 정비사업 폐기물 처리용역,전라북도 남원시,전라북도 남원시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 17:38(2020/05/22 14:00),,
용역,20200522778-00,일반,충청남도안전체험관 영상콘텐츠 개발 설치용역,조달청 대전지방조달청,충청남도 소방학교,제한(총액)협상에의한계약,2020/05/19 17:38(2020/06/02 10:00),,
용역,20200521873-00,일반,진도·율촌천 재해예방사업 소규모환경영향평가 용역,전라남도,전라남도,제한경쟁,2020/05/19 17:36(2020/05/27 10:00),,
용역,20200523457-00,일반,하도리 마을단위특화개발사업 역사문화마을길 조성 및 해안경관 정비 세부설계 용역,한국농어촌공사 제주지역본부,한국농어촌공사 제주지역본부,수의(총액)소액수의,2020/05/19 17:35(2020/05/25 12:00),,
용역,20200523189-00,일반,중소기업 R&D수요 규모 추정 및 연구역량 판단지표 분석 연구,조달청 대전지방조달청,중소기업기술정보진흥원,수의(총액)일반수의,2020/05/19 17:35(2020/05/26 11:00),,
용역,20200523468-00,긴급,국도14호선 거제시 사등면 사곡삼거리 등 4개소 통로BOX 배수로 정비공사 폐기물처리용역,국토교통부 부산지방국토관리청 진주국토관리사무소,국토교통부 부산지방국토관리청 진주국토관리사무소,제한(총액),2020/05/19 17:35(2020/05/26 10:00),,
용역,20200520487-00,긴급,디지털 트윈 방식의 하천플랫폼,조달청 대구지방조달청,한국정보화진흥원,제한(총액)협상에의한계약,2020/05/19 17:34(2020/06/16 10:00),,
용역,20200523440-00,긴급,내동지구대 일원 외 1개소 하수암거 준설공사 폐기물처리용역,경기도 부천시,경기도 부천시,제한(총액),2020/05/19 17:34(2020/05/25 12:00),,
용역,20200521870-00,일반,용산·유곡·영산강천·포두천 재해예방사업 소규모환경영향평가 용역,전라남도,전라남도,제한경쟁,2020/05/19 17:34(2020/05/27 10:00),,
용역,20200523464-00,긴급,2020년 지하수 이용실태조사 용역,경상남도 밀양시,경상남도 밀양시,제한경쟁,2020/05/19 17:34(2020/05/26 12:00),,
용역,20200523447-00,일반,처방 선정 지원을 위한 임상 데이터 구축,한국한의학연구원,한국한의학연구원,제한(총액)협상에의한계약,2020/05/19 17:34(-),,
용역,20200516828-04,변경,유럽 선재산업 분석 및 국내 선재업계 진출확대 전략,한국철강협회,한국철강협회,일반(총액),2020/05/19 17:33(-),,
용역,20200523436-00,긴급,고양시 여성회관 리모델링 공사에 따른 보관이전 용역,경기도 고양시,경기도 고양시,제한(총액),2020/05/19 17:33(2020/05/25 10:00),,
용역,20200523403-00,긴급,서울대학교 의과대학 사업장폐기물 위탁처리용역,서울대학교 의과대학,서울대학교 의과대학,제한(총액),2020/05/19 17:32(2020/05/25 14:00),,
