업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,20200518985-00,일반,보훈단체(재향군인회 포함) 및 자활용사촌 수익사업 현황조사,국가보훈처,국가보훈처,제한(총액)협상에의한계약,2020/05/15 16:06(2020/05/26 10:00),
용역,20200518990-00,일반,2020년 소규모 공동주택 안전점검 용역,울산광역시 울주군,울산광역시 울주군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:06(2020/05/21 10:00),
용역,E042000268-00,일반,하동발전본부 태양광 발전사업 타당성조사 용역(2020-1),한국남부발전주식회사,자재연료부,제한(총액),2020/05/15 16:05(2020/05/22 14:00),
용역,20200518982-00,일반,인천교공원 어린이교통교육장 정비공사 폐기물처리 용역,인천광역시 동구,인천광역시 동구,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:05(2020/05/21 10:00),
용역,20200518201-01,변경,지방도1132호선(조천리 외 5개소) 포장도 보수공사 폐기물처리용역,제주특별자치도,제주특별자치도,제한(총액),2020/05/15 16:04(2020/05/21 14:00),
용역,20200518998-00,일반,교사 대상 온라인 경제연수 프로그램 개발 및 운영,한국개발연구원,한국개발연구원,제한(총액)협상에의한계약,2020/05/15 16:04(-),
용역,20200518993-00,긴급,부여 송국리유적 선사박물관 건립 타당성조사 및 기본계획 수립 용역,충청남도 부여군,충청남도 부여군,제한경쟁,2020/05/15 16:04(2020/05/21 10:00),
용역,20200518987-00,일반,영락공원 대기환경설비 자가측정 및 대기환경 관리대행 용역,광주광역시 도시공사,광주광역시 도시공사,일반(총액),2020/05/15 16:02(2020/05/22 10:00),
용역,B5202001536-00,일반,신안군 지방상수도 관망정비공사 건설폐기물 처리용역,한국수자원공사,한국수자원공사 전남지역협력단,일반경쟁,2020/05/15 16:00(2020/05/21 10:00),
용역,K20S065000-01,일반,고리제3발전소 산업안전문화 진단 컨설팅용역,한국수력원자력주식회사,한국수력원자력(주) 고리원자력본부,일반(총액),2020/05/15 16:00(2020/05/25 12:00),
용역,P2020-00034-00,일반,DR콩고 Kwango지역 모자보건 증진 사업 BDS 용역,한국국제협력단,한국국제협력단, ,2020/05/15 16:00(2020/06/26 15:00),
용역,B5202001552-00,일반,2020년 공주시 지방상수도 현대화사업 누수탐사용역,한국수자원공사,한국수자원공사 충남지역협력단,제한경쟁,2020/05/15 16:00(2020/05/25 13:00),
용역,E012004448-00,일반,154kV 사천-개양T/L No.30~35 안전이격거리 확보 책임감리용역(PQ),한국전력공사,재무자재부,일반(총액),2020/05/15 15:59(2020/06/25 10:00),
용역,2020-02-000328-00,일반,호남선 서대전~가수원간 매천교 개량공사 감독 권한대행 등 건설사업관리용역,한국철도시설공단,한국철도시설공단,제한경쟁,2020/05/15 15:59(2020/06/17 13:00),
용역,E012004449-00,일반,강화군수 흥왕지14H2외 선형개량 지장전주 이설공사 감리용역,한국전력공사,재무자재부,제한(총액),2020/05/15 15:58(2020/05/25 14:00),
용역,20200518963-00,긴급,칠보면 청광만적마을 상수도 급수관 GIS DB구축 용역,전라북도 정읍시,전라북도 정읍시,제한경쟁,2020/05/15 15:58(2020/05/21 14:00),
